Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matchs
294,Redwan Bourles\5c7895a0,fr FRA,MTDF,Lorient,fr Ligue 1,18-356,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
295,Edoardo Bove\ae94a6c5,it ITA,MTDF,Roma,it Serie A,19-222,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
296,Jarrod Bowen\79c84d1c,eng ENG,AT,West Ham,eng Premier League,25-004,1996,15.6,3,42,16,38.1,2.69,1.03,0.07,0.19,16.7,0,0,0,5.0,5.0,0.12,-2.0,-2.0,Matchs
297,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,de Bundesliga,31-026,1990,10.0,0,7,1,14.3,0.70,0.10,0.00,0.00,9.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matchs
298,Lucas Boyé\d49f3e6b,ar ARG,AT,Elche,es La Liga,25-299,1996,12.8,5,33,12,36.4,2.57,0.93,0.15,0.42,15.6,1,0,0,3.5,3.5,0.11,+1.5,+1.5,Matchs
299,Domagoj Bradarić\8bbe2df5,hr CRO,DFMT,Lille,fr Ligue 1,22-014,1999,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
300,Bilal Brahimi\02bcaf8e,fr FRA,ATMT,Angers,fr Ligue 1,21-285,2000,1.2,0,2,1,50.0,1.73,0.87,0.00,0.00,21.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matchs
301,Martin Braithwaite\fd771f95,dk DEN,AT,Barcelona,es La Liga,30-202,1991,2.5,2,7,3,42.9,2.81,1.21,0.29,0.67,12.0,0,0,0,1.0,1.0,0.15,+1.0,+1.0,Matchs
302,Julian Brandt\a167537f,de GER,MTAT,Dortmund,de Bundesliga,25-236,1996,10.8,5,14,6,42.9,1.30,0.56,0.36,0.83,15.4,0,0,0,1.9,1.9,0.14,+3.1,+3.1,Matchs
303,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,eng Premier League,19-180,2002,1.0,1,1,1,100.0,1.00,1.00,1.00,1.00,5.1,0,0,0,0.4,0.4,0.36,+0.6,+0.6,Matchs
304,Darko Brašanac\4accb7e0,rs SRB,MT,Osasuna,es La Liga,29-315,1992,15.1,0,11,1,9.1,0.73,0.07,0.00,0.00,14.6,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matchs
305,Lilian Brassier\5b146df3,fr FRA,DF,Brest,fr Ligue 1,22-052,1999,11.9,0,4,0,0.0,0.34,0.00,0.00,,32.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
306,Claudio Bravo\10072610,cl CHI,GB,Betis,es La Liga,38-255,1983,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
307,Iker Bravo\db8c8860,es ESP,AT,Leverkusen,de Bundesliga,16-345,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
308,Fabian Bredlow\d28339cb,de GER,GB,Stuttgart,de Bundesliga,26-297,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
309,Josip Brekalo\d4a2533d,hr CRO,MT,Wolfsburg,de Bundesliga,23-184,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
310,Josip Brekalo\d4a2533d,hr CRO,ATMT,Torino,it Serie A,23-184,1998,10.2,3,20,7,35.0,1.97,0.69,0.15,0.43,16.7,0,0,0,2.1,2.1,0.10,+0.9,+0.9,Matchs
