Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matchs
622,Marko Dmitrović\ac295d9e,rs SRB,GB,Sevilla,es La Liga,29-334,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
623,Lewis Dobbin\e814e1cf,eng ENG,ATMT,Everton,eng Premier League,18-355,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
624,Matt Doherty\d557d734,ie IRL,DF,Tottenham,eng Premier League,29-342,1992,0.6,0,1,0,0.0,1.58,0.00,0.00,,17.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
625,Jeremy Doku\fffea3e5,be BEL,ATMT,Rennes,fr Ligue 1,19-211,2002,2.3,1,3,2,66.7,1.33,0.89,0.33,0.50,9.7,0,0,0,0.7,0.7,0.23,+0.3,+0.3,Matchs
626,Kasper Dolberg\cc83b74d,dk DEN,AT,Nice,fr Ligue 1,24-079,1997,8.9,4,21,9,42.9,2.36,1.01,0.14,0.33,13.2,0,1,1,3.9,3.1,0.15,+0.1,-0.1,Matchs
627,Brandon Domingues\2a00c6c0,fr FRA,ATMT,Troyes,fr Ligue 1,21-201,2000,1.1,0,2,1,50.0,1.80,0.90,0.00,0.00,19.6,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matchs
628,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,es La Liga,20-357,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
629,Nicolás Domínguez\20b3a502,ar ARG,MT,Bologna,it Serie A,23-179,1998,16.7,0,13,3,23.1,0.78,0.18,0.00,0.00,15.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matchs
630,Anastasios Donis\0f26fd24,gr GRE,ATMT,Reims,fr Ligue 1,25-117,1996,2.6,0,9,1,11.1,3.40,0.38,0.00,0.00,20.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matchs
631,Gianluigi Donnarumma\08f5afaa,it ITA,GB,Paris S-G,fr Ligue 1,22-302,1999,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
632,Niklas Dorsch\7f73bdf4,de GER,MT,Augsburg,de Bundesliga,23-343,1998,12.2,1,8,1,12.5,0.66,0.08,0.13,1.00,27.8,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matchs
633,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,eng Premier League,24-005,1997,14.8,2,15,5,33.3,1.02,0.34,0.13,0.40,9.8,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Matchs
634,Jodel Dossou\a1dbfcb1,bj BEN,AT,Clermont Foot,fr Ligue 1,29-282,1992,12.5,1,32,8,25.0,2.56,0.64,0.03,0.13,17.6,0,0,0,3.3,3.3,0.10,-2.3,-2.3,Matchs
635,Lucas Douath\3cd7820a,fr FRA,MT,Saint-Étienne,fr Ligue 1,18-141,2003,6.9,0,3,0,0.0,0.43,0.00,0.00,,7.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matchs
636,Abdoulaye Doucouré\02b29014,fr FRA,MT,Everton,eng Premier League,28-357,1993,13.0,2,21,6,28.6,1.62,0.46,0.10,0.33,16.1,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matchs
637,Cheick Doucouré\ce4f40c7,ml MLI,MT,Lens,fr Ligue 1,21-350,2000,15.6,0,14,5,35.7,0.90,0.32,0.00,0.00,20.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matchs
638,Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,fr Ligue 1,20-324,2001,1.7,0,1,0,0.0,0.58,0.00,0.00,,22.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
639,Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,fr Ligue 1,25-091,1996,11.5,0,8,3,37.5,0.69,0.26,0.00,0.00,21.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matchs
640,Kieran Dowell\2f6ec02a,eng ENG,ATMT,Norwich City,eng Premier League,24-075,1997,2.8,0,2,0,0.0,0.72,0.00,0.00,,33.5,2,0,0,0.1,0.1,0.06,-0.1,-0.1,Matchs
641,Bartłomiej Drągowski\085e71a7,pl POL,GBDF,Fiorentina,it Serie A,24-127,1997,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
642,Radu Drăgușin\620922ed,ro ROU,DF,Sampdoria,it Serie A,19-324,2002,4.4,0,2,0,0.0,0.45,0.00,0.00,,13.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matchs
643,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,eng Premier League,20-016,2001,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
644,Julian Draxler\1a992676,de GER,ATMT,Paris S-G,fr Ligue 1,28-095,1993,4.1,2,7,2,28.6,1.70,0.49,0.29,1.00,13.5,0,0,0,1.4,1.4,0.19,+0.6,+0.6,Matchs
645,Domingos Duarte\93090f69,pt POR,DF,Granada,es La Liga,26-289,1995,6.8,1,1,1,100.0,0.15,0.15,1.00,1.00,3.6,0,0,0,0.3,0.3,0.35,+0.7,+0.7,Matchs
646,Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,es La Liga,32-204,1989,8.0,0,6,2,33.3,0.75,0.25,0.00,0.00,10.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matchs
647,Rubén Duarte\1fe0492d,es ESP,DF,Alavés,es La Liga,26-067,1995,14.4,0,5,1,20.0,0.35,0.07,0.00,0.00,20.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matchs
648,Leo Dubois\ff0ab48c,fr FRA,DF,Lyon,fr Ligue 1,27-101,1994,10.2,0,3,1,33.3,0.29,0.10,0.00,0.00,28.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matchs
649,Martin Dúbravka\3a949a25,sk SVK,GB,Newcastle Utd,eng Premier League,32-343,1989,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
650,Ondrej Duda\79ca3e23,sk SVK,MT,Köln,de Bundesliga,27-019,1994,11.9,1,30,12,40.0,2.52,1.01,0.03,0.08,19.6,0,0,0,2.7,2.7,0.09,-1.7,-1.7,Matchs
651,Jeremy Dudziak\5a8d6540,tn TUN,MTAT,Greuther Fürth,de Bundesliga,26-118,1995,6.6,1,7,2,28.6,1.06,0.30,0.14,0.50,12.7,0,0,0,1.3,1.3,0.21,-0.3,-0.3,Matchs
652,Shane Duffy\7314bba4,ie IRL,DF,Brighton,eng Premier League,29-357,1992,12.6,1,16,4,25.0,1.27,0.32,0.06,0.25,8.7,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matchs
653,Denzel Dumfries\481c9ece,nl NED,DF,Inter,it Serie A,25-250,1996,9.2,3,12,9,75.0,1.31,0.98,0.25,0.33,13.2,0,0,0,2.4,2.4,0.20,+0.6,+0.6,Matchs
654,Alfred Duncan\528492ea,gh GHA,MT,Fiorentina,it Serie A,28-289,1993,11.3,1,7,2,28.6,0.62,0.18,0.14,0.50,19.4,0,0,0,1.0,1.0,0.14,0.0,0.0,Matchs
655,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,eng Premier League,30-033,1991,14.0,0,6,3,50.0,0.43,0.21,0.00,0.00,9.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matchs
656,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,de Bundesliga,29-226,1992,5.3,0,1,0,0.0,0.19,0.00,0.00,,35.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matchs
657,Hugo Duro\37e103f8,es ESP,DFMT,Getafe,es La Liga,22-044,1999,0.1,0,2,1,50.0,15.00,7.50,0.00,0.00,16.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matchs
658,Hugo Duro\37e103f8,es ESP,MTAT,Valencia,es La Liga,22-044,1999,10.9,5,18,10,55.6,1.65,0.92,0.28,0.50,11.1,0,0,0,2.5,2.5,0.14,+2.5,+2.5,Matchs
659,Jean-Kevin Duverne\0cbc8baa,fr FRA,DF,Brest,fr Ligue 1,24-165,1997,15.7,0,4,0,0.0,0.25,0.00,0.00,,16.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matchs
660,Paulo Dybala\e0921a4f,ar ARG,ATMT,Juventus,it Serie A,28-039,1993,10.5,5,52,21,40.4,4.97,2.01,0.08,0.19,21.6,5,1,2,4.7,3.2,0.06,+0.3,+0.8,Matchs
661,Edin Džeko\3bb7f478,ba BIH,AT,Inter,it Serie A,35-282,1986,13.8,8,38,16,42.1,2.76,1.16,0.21,0.50,10.6,0,0,0,5.7,5.7,0.15,+2.3,+2.3,Matchs
662,Enzo Ebosse\9ba7b4fa,fr FRA,DF,Angers,fr Ligue 1,22-288,1999,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
663,Tyronne Ebuehi\6af30900,ng NGA,DF,Venezia,it Serie A,26-008,1995,8.2,0,4,0,0.0,0.49,0.00,0.00,,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matchs
664,Ederson\3bb7b8b4,br BRA,GB,Manchester City,eng Premier League,28-129,1993,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
665,Odsonne Édouard\0562b7f1,fr FRA,AT,Crystal Palace,eng Premier League,23-342,1998,8.8,3,22,11,50.0,2.51,1.26,0.14,0.27,13.6,0,0,0,3.0,3.0,0.14,0.0,0.0,Matchs
666,Maximilian Eggestein\beb882a8,de GER,MT,Freiburg,de Bundesliga,25-016,1996,10.8,1,9,2,22.2,0.83,0.18,0.11,0.50,20.4,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matchs
667,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,de Bundesliga,26-213,1995,3.1,0,2,0,0.0,0.64,0.00,0.00,,17.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matchs
668,Albin Ekdal\f503ea63,se SWE,MT,Sampdoria,it Serie A,32-149,1989,10.4,1,13,2,15.4,1.25,0.19,0.08,0.50,13.8,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matchs
669,Hugo Ekitike\5b92d896,fr FRA,AT,Reims,fr Ligue 1,19-187,2002,9.6,8,20,12,60.0,2.08,1.25,0.35,0.58,13.1,0,1,1,4.6,3.9,0.21,+3.4,+3.1,Matchs
670,Jurgen Ekkelenkamp\73d6a176,nl NED,MTAT,Hertha BSC,de Bundesliga,21-263,2000,4.9,2,10,3,30.0,2.05,0.62,0.20,0.67,10.6,0,0,0,1.7,1.7,0.17,+0.3,+0.3,Matchs
671,Caleb Ekuban\7afbd2c3,gh GHA,ATMT,Genoa,it Serie A,27-276,1994,9.7,0,17,4,23.5,1.75,0.41,0.00,0.00,15.0,0,0,0,2.1,2.1,0.12,-2.1,-2.1,Matchs
672,Anthony Elanga\2fba6108,se SWE,AT,Manchester Utd,eng Premier League,19-241,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
673,Alberth Elis\104b4ad3,hn HON,ATMT,Bordeaux,fr Ligue 1,25-315,1996,9.3,7,19,8,42.1,2.05,0.86,0.37,0.88,12.6,0,0,0,3.9,3.9,0.20,+3.1,+3.1,Matchs
674,Harvey Elliott\c8387671,eng ENG,MT,Liverpool,eng Premier League,18-264,2003,2.8,0,7,1,14.3,2.52,0.36,0.00,0.00,16.3,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matchs
675,Elif Elmas\cf007308,mk MKD,MTAT,Napoli,it Serie A,22-091,1999,10.0,2,15,5,33.3,1.51,0.50,0.13,0.40,17.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matchs
676,Mohamed Elneny\47a34c4f,eg EGY,MT,Arsenal,eng Premier League,29-166,1992,1.7,0,1,0,0.0,0.59,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
677,Aritz Elustondo\f7dc2ae5,es ESP,DF,Real Sociedad,es La Liga,27-271,1994,14.0,3,8,4,50.0,0.57,0.29,0.38,0.75,16.0,0,0,0,0.9,0.9,0.12,+2.1,+2.1,Matchs
678,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,de Bundesliga,25-085,1996,13.3,0,8,0,0.0,0.60,0.00,0.00,,9.3,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matchs
679,Sepe Elye Wahi\0d7b6576,fr FRA,ATMT,Montpellier,fr Ligue 1,18-356,2003,7.7,4,15,6,40.0,1.96,0.78,0.27,0.67,14.7,0,0,0,1.8,1.8,0.12,+2.2,+2.2,Matchs
680,Mohamed Elyounoussi\68dc0dac,no NOR,MT,Southampton,eng Premier League,27-142,1994,9.1,1,23,6,26.1,2.54,0.66,0.04,0.17,15.2,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matchs
681,Adri Embarba\db8f0eba,es ESP,MTAT,Espanyol,es La Liga,29-231,1992,15.1,0,32,12,37.5,2.13,0.80,0.00,0.00,24.0,12,0,0,2.1,2.1,0.06,-2.1,-2.1,Matchs
682,Breel Embolo\0b4f388a,ch SUI,AT,M'Gladbach,de Bundesliga,24-313,1997,9.3,2,18,6,33.3,1.94,0.65,0.11,0.33,12.7,0,0,0,3.6,3.6,0.20,-1.6,-1.6,Matchs
683,Emerson\df8b52a5,br BRA,DF,Tottenham,eng Premier League,22-344,1999,10.4,0,2,0,0.0,0.19,0.00,0.00,,12.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matchs
684,Emerson\df8b52a5,br BRA,DF,Barcelona,es La Liga,22-344,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
685,Renaud Emond\5c9ac7f0,be BEL,MTAT,Nantes,fr Ligue 1,30-019,1991,2.1,0,1,0,0.0,0.48,0.00,0.00,,54.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
686,Youssef En-Nesyri\04e17fd5,ma MAR,AT,Sevilla,es La Liga,24-206,1997,5.2,3,13,5,38.5,2.48,0.96,0.15,0.40,12.0,0,1,1,3.0,2.2,0.17,0.0,-0.2,Matchs
687,Keita Endo\1a83027b,jp JPN,MT,Union Berlin,de Bundesliga,24-032,1997,0.3,0,1,0,0.0,3.91,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
688,Wataru Endo\c149016b,jp JPN,MT,Stuttgart,de Bundesliga,28-318,1993,16.8,1,18,6,33.3,1.07,0.36,0.06,0.17,18.6,0,0,0,1.3,1.1,0.06,-0.3,-0.1,Matchs
689,Martin Erlic\0fee6bda,hr CRO,DF,Spezia,it Serie A,23-334,1998,11.2,0,3,0,0.0,0.27,0.00,0.00,,12.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matchs
690,Gonzalo Escalante\3f79a1c8,ar ARG,MT,Lazio,it Serie A,28-272,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
691,Aarón Escandell\67669ce7,es ESP,GB,Granada,es La Liga,26-088,1995,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
692,Sergio Escudero\b0616e3d,es ESP,DFMT,Granada,es La Liga,32-113,1989,5.0,0,5,0,0.0,1.00,0.00,0.00,,24.2,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matchs
693,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,es La Liga,29-353,1992,18.0,2,10,5,50.0,0.56,0.28,0.20,0.40,16.6,0,0,0,0.7,0.5,0.05,+1.3,+1.5,Matchs
694,Michael Esser\83e0eeb4,de GER,GB,Bochum,de Bundesliga,34-032,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
695,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,fr Ligue 1,19-212,2002,10.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
696,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,es La Liga,23-337,1998,8.4,0,8,2,25.0,0.95,0.24,0.00,0.00,21.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matchs
697,Oghenekaro Etebo\b579e83d,ng NGA,MT,Watford,eng Premier League,26-045,1995,4.1,0,3,0,0.0,0.73,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
698,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,eng Premier League,33-355,1988,8.4,1,3,2,66.7,0.36,0.24,0.33,0.50,5.7,0,0,0,0.7,0.7,0.25,+0.3,+0.3,Matchs
699,Eberechi Eze\ae4fc6a4,eng ENG,MT,Crystal Palace,eng Premier League,23-178,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
700,Abdessamad Ezzalzouli\bed68338,ma MAR,ATDF,Barcelona,es La Liga,20-007,2001,5.3,1,14,3,21.4,2.62,0.56,0.07,0.33,16.1,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matchs
701,Łukasz Fabiański\9328b835,pl POL,GB,West Ham,eng Premier League,36-250,1985,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
702,Fabinho\7f3b388c,br BRA,MT,Liverpool,eng Premier League,28-062,1993,11.2,1,8,2,25.0,0.71,0.18,0.13,0.50,16.3,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matchs
703,Fábio\bc7b4580,br BRA,DF,Nantes,fr Ligue 1,31-168,1990,10.0,0,6,0,0.0,0.60,0.00,0.00,,16.4,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matchs
704,Cesc Fàbregas\33508c78,es ESP,MT,Monaco,fr Ligue 1,34-234,1987,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
705,Wout Faes\9c221d14,be BEL,DF,Reims,fr Ligue 1,23-265,1998,18.0,2,9,3,33.3,0.50,0.17,0.22,0.67,10.9,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matchs
706,Wahidullah Faghir\93c9e7d9,dk DEN,AT,Stuttgart,de Bundesliga,18-148,2003,1.4,1,6,1,16.7,4.39,0.73,0.17,1.00,15.5,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matchs
707,Romain Faivre\745ca0a3,fr FRA,MT,Brest,fr Ligue 1,23-163,1998,17.0,7,27,11,40.7,1.59,0.65,0.07,0.18,21.4,3,5,5,6.1,2.3,0.08,+0.9,-0.3,Matchs
708,Radamel Falcao\66116290,co COL,AT,Rayo Vallecano,es La Liga,35-317,1986,3.9,5,15,9,60.0,3.82,2.29,0.33,0.56,13.1,1,0,0,2.1,2.1,0.14,+2.9,+2.9,Matchs
709,Wladimiro Falcone\9f5a610b,it ITA,GB,Sampdoria,it Serie A,26-256,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
710,Fali\72a84002,es ESP,DFMT,Cádiz,es La Liga,28-134,1993,11.3,0,8,0,0.0,0.71,0.00,0.00,,17.1,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matchs
711,Davide Faraoni\aae9d04a,it ITA,DF,Hellas Verona,it Serie A,30-060,1991,17.1,2,18,4,22.2,1.05,0.23,0.11,0.50,16.4,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matchs
712,Mohamed Fares\b7a5bc86,dz ALG,DFAT,Genoa,it Serie A,25-312,1996,5.2,2,13,3,23.1,2.49,0.57,0.15,0.67,12.9,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matchs
713,Diego Farias\157d29b6,br BRA,MTAT,Cagliari,it Serie A,31-228,1990,0.7,0,1,0,0.0,1.36,0.00,0.00,,21.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matchs
714,Wuilker Faríñez\2c127b6f,ve VEN,GB,Lens,fr Ligue 1,23-312,1998,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
715,Ömer Faruk Beyaz\8307b663,tr TUR,ATDF,Stuttgart,de Bundesliga,18-117,2003,0.4,0,1,1,100.0,2.50,2.50,0.00,0.00,24.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matchs
716,Ansu Fati\0ba976e4,es ESP,AT,Barcelona,es La Liga,19-054,2002,2.4,3,13,6,46.2,5.49,2.54,0.23,0.50,16.7,1,0,0,1.0,1.0,0.08,+2.0,+2.0,Matchs
717,Julien Faussurier\767212e6,fr FRA,DFAT,Brest,fr Ligue 1,34-344,1987,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
718,Andrea Favilli\44510fde,it ITA,AT,Genoa,it Serie A,24-221,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
719,Aleix Febas\38126309,es ESP,MT,Mallorca,es La Liga,25-325,1996,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
720,Adrian Fein\60097ff6,de GER,MT,Greuther Fürth,de Bundesliga,22-281,1999,0.4,0,1,0,0.0,2.81,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
721,Nabil Fekir\bece776f,fr FRA,MT,Betis,es La Liga,28-159,1993,15.2,4,48,20,41.7,3.15,1.31,0.08,0.20,20.1,3,0,0,3.4,3.4,0.07,+0.6,+0.6,Matchs
722,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,es La Liga,32-222,1989,9.7,2,8,3,37.5,0.82,0.31,0.25,0.67,9.6,0,0,0,0.6,0.6,0.07,+1.4,+1.4,Matchs
723,Luiz Felipe\15d0c248,br BRA,DF,Lazio,it Serie A,24-277,1997,15.6,0,2,0,0.0,0.13,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matchs
724,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,de Bundesliga,24-106,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matchs
725,João Félix\8aafd64f,pt POR,ATMT,Atlético Madrid,es La Liga,22-044,1999,6.0,2,21,7,33.3,3.52,1.17,0.10,0.29,15.2,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matchs
726,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,eng Premier League,30-325,1991,9.0,0,1,0,0.0,0.11,0.00,0.00,,19.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matchs
727,Bruno Fernandes\507c7bdf,pt POR,MT,Manchester Utd,eng Premier League,27-107,1994,15.3,5,36,9,25.0,2.35,0.59,0.14,0.56,22.3,3,0,1,3.6,2.9,0.08,+1.4,+2.1,Matchs
728,Edimilson Fernandes\3bb625ac,ch SUI,DFAT,Arminia,de Bundesliga,25-253,1996,3.1,0,4,2,50.0,1.27,0.64,0.00,0.00,43.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matchs
729,Aitor Fernández\a01c3d54,es ESP,GB,Levante,es La Liga,30-235,1991,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
730,Álex Fernández\aa677a35,es ESP,MT,Cádiz,es La Liga,29-070,1992,12.7,3,11,4,36.4,0.87,0.32,0.18,0.50,22.2,0,1,2,2.4,0.9,0.08,+0.6,+1.1,Matchs
731,Álvaro Fernández\f127d782,es ESP,GB,Brentford,eng Premier League,23-255,1998,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
732,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,eng Premier League,32-306,1989,5.8,0,6,1,16.7,1.03,0.17,0.00,0.00,9.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matchs
733,Fernandinho\101da2b5,br BRA,MT,Manchester City,eng Premier League,36-234,1985,3.8,1,6,1,16.7,1.59,0.26,0.17,1.00,19.6,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matchs
734,Fernando\41f32541,br BRA,MTDF,Sevilla,es La Liga,34-152,1987,15.4,1,5,1,20.0,0.33,0.07,0.20,1.00,19.2,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matchs
735,Alex Ferrari\d0dbca9f,it ITA,DF,Sampdoria,it Serie A,27-176,1994,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
736,Salvador Ferrer\eb76987d,es ESP,DFMT,Spezia,it Serie A,23-337,1998,10.4,0,4,1,25.0,0.38,0.10,0.00,0.00,22.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matchs
737,Jordan Ferri\375622c5,fr FRA,MT,Montpellier,fr Ligue 1,29-287,1992,16.4,0,5,1,20.0,0.31,0.06,0.00,0.00,23.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matchs
738,Riccardo Fiamozzi\9f9b9269,it ITA,DF,Empoli,it Serie A,28-220,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
739,Fidel\eb82b6f1,es ESP,MT,Elche,es La Liga,32-058,1989,13.5,2,8,3,37.5,0.59,0.22,0.13,0.33,17.1,1,1,1,1.5,0.7,0.09,+0.5,+0.3,Matchs
740,Karol Fila\50ac8941,pl POL,DF,Strasbourg,fr Ligue 1,23-194,1998,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
741,Alfreð Finnbogason\f9e7c4ac,is ISL,ATMT,Augsburg,de Bundesliga,32-326,1989,1.6,1,3,2,66.7,1.91,1.28,0.33,0.50,16.6,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matchs
742,Luca Fiordilino\9bb1ad91,it ITA,MT,Venezia,it Serie A,25-152,1996,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
743,Vincenzo Fiorillo\a2565f79,it ITA,GB,Salernitana,it Serie A,31-345,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
744,Roberto Firmino\4c370d81,br BRA,AT,Liverpool,eng Premier League,30-083,1991,4.7,4,13,6,46.2,2.79,1.29,0.31,0.67,12.3,0,0,0,4.0,4.0,0.31,0.0,0.0,Matchs
745,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,eng Premier League,25-124,1996,9.1,0,5,0,0.0,0.55,0.00,0.00,,13.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matchs
746,Mark Flekken\a92ab7be,nl NED,GB,Freiburg,de Bundesliga,28-194,1993,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matchs
747,Ashley Fletcher\eeb6551f,eng ENG,AT,Watford,eng Premier League,26-083,1995,0.3,0,2,1,50.0,6.00,3.00,0.00,0.00,19.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matchs
748,Alexis Flips\caef7840,fr FRA,ATMT,Reims,fr Ligue 1,21-340,2000,6.5,1,8,5,62.5,1.23,0.77,0.00,0.00,26.7,0,1,1,0.9,0.2,0.02,+0.1,-0.2,Matchs
